sentence,word_labels,rule_attribute,missing_words,attr_words
The Senate granted Bibulus a thanksgiving of twenty days,"B-ent,I-ent,O,O,O,B-attr,O,B-qty,I-qty",duration thanksgiving,duration <EOS>,['thanksgiving']
Takshang is 30.7 km from Gangtok and the population of the village is nearly 350-400,"B-ent,O,B-qty,I-qty,B-attr,I-attr,O,O,O,O,O,O,O,O,O",distance from Gangtok,distance <EOS>,"['from', 'Gangtok']"
The rocky banks of the Nugush and Belaya rives reach 150 meters in height,"O,B-attr,I-attr,O,B-ent,I-ent,I-ent,I-ent,O,B-attr,B-qty,I-qty,O,I-attr",rocky banks height, <EOS>,"['rocky', 'banks', 'reach', 'height']"
The Padayani was presented for 8 days from Medam 3 to Medam10,"O,B-ent,O,B-attr,O,B-qty,I-qty,O,O,O,O,O",duration presented,duration <EOS>,['presented']
Average rainfall in Windsor Locks is 46.27 inches,"O,B-attr,O,B-ent,I-ent,O,B-qty,I-qty",average rainfall,average <EOS>,['rainfall']
Stan Edwards rushed for 139 yards for Michigan,"B-ent,I-ent,B-attr,O,B-qty,I-qty,O,O",rushed yards, <EOS>,['rushed']
"Sredna Gora is 285 km long , reaching 50 km at its greatest width","B-ent,I-ent,O,B-qty,I-qty,B-attr,O,O,O,O,O,O,O,O",length,length <EOS>,['long']
LaMichael James rushed for 123 yards and 2 touchdowns,"B-ent,I-ent,B-attr,O,B-qty,I-qty,O,O,O",rushed yards, <EOS>,['rushed']
Running back LaMichael James had 118 yards rushing with one touchdown,"O,O,B-ent,I-ent,O,B-qty,I-qty,B-attr,O,O,O",rushed yards,rushed <EOS>,['rushing']
The medical training in Leeds lasts five years,"O,B-attr,I-attr,O,B-ent,B-attr,B-qty,I-qty",medical training lasts, <EOS>,"['medical', 'training', 'lasts']"
Hamad was banned by World Anti-Doping Agency for 24 months after testing positive for steroids,"B-ent,O,B-attr,O,O,O,O,O,B-qty,I-qty,O,O,O,O,O",duration banned,duration <EOS>,['banned']
Panchobh is 14 km from Darbhanga station,"B-ent,O,B-qty,I-qty,B-attr,I-attr,I-attr",distance from Darbhanga station,distance <EOS>,"['from', 'Darbhanga', 'station']"
Panchobh is 8.5 km from Laheriasarai station,"B-ent,O,B-qty,I-qty,B-attr,I-attr,I-attr",distance from Laheriasarai station,distance <EOS>,"['from', 'Laheriasarai', 'station']"
Aïre is about 5 km from the centre of Geneva,"B-ent,O,O,B-qty,I-qty,B-attr,I-attr,I-attr,I-attr,I-attr",distance from the centre of Geneva,distance <EOS>,"['from', 'the', 'centre', 'of', 'Geneva']"
Pelmorex Management now owns 100 % of Pelmorex Corp,"B-ent,I-ent,O,B-attr,B-qty,I-qty,O,B-attr,I-attr",Pelmorex Corp share,share <EOS>,"['owns', 'Pelmorex', 'Corp']"
Eminem reportedly earned a total of £2 million for his two performances,"B-ent,O,B-attr,O,I-attr,O,B-qty,I-qty,O,O,O,O",earned total amount,amount <EOS>,"['earned', 'total']"
"The world record throw was officially measured at 80.00 m , exactly","O,B-ent,I-ent,I-ent,O,O,B-attr,O,B-qty,I-qty,O,O",length measured,length <EOS>,['measured']
The gold landed at Barnstaple from this voyage weighed 320 lbs,"O,O,O,O,O,O,O,B-ent,B-attr,B-qty,I-qty",weighed, <EOS>,['weighed']
West Park is the largest public park in Goole covering over 32 acres,"B-ent,I-ent,O,O,O,O,O,O,B-ent,O,O,B-qty,I-qty",area,area <EOS>,[]
The district contains 170 km of gravel roads,"O,B-ent,B-attr,B-qty,I-qty,O,B-attr,I-attr",gravel roads length,length <EOS>,"['contains', 'gravel', 'roads']"
Baitalpur is 30 km from Bilaspur,"B-ent,O,B-qty,I-qty,B-attr,O",distance from Bilaspur,distance <EOS>,['from']
"The bus numbers plying to Madhapur are 10 H , 127K , 222A","O,O,O,O,O,B-ent,O,O,O,O,O,O,O",UNKNOWN,UNKNOWN <EOS>,[]
EU renewable energy targets of final energy for Belgium is 13 % by 2020,"B-ent,I-ent,I-ent,O,O,B-attr,B-ent,O,O,O,B-qty,I-qty,O,O",final energy, <EOS>,['final']
"The Business Green Tariff uses 100 % renewable energy , sourced from hydro and wind","B-ent,I-ent,I-ent,I-ent,B-attr,B-qty,I-qty,B-attr,I-attr,O,O,O,O,O,O",uses renewable energy, <EOS>,"['uses', 'renewable', 'energy']"
The overall EU target for renewable energy use is 20 % by the year 2020,"B-ent,I-ent,I-ent,I-ent,O,B-attr,I-attr,O,O,B-qty,I-qty,O,O,O,O",renewable energy, <EOS>,"['renewable', 'energy']"
"In Tunisia , Amirshahi obtained 56.15 % of the vote","O,B-ent,I-ent,I-ent,B-attr,B-qty,I-qty,O,B-attr,I-attr",obtained  the vote, <EOS>,"['obtained', 'the', 'vote']"
Tunisia 's military spending was 1.6 % of GDP,"B-ent,I-ent,B-attr,I-attr,O,B-qty,I-qty,B-attr,I-attr",military spending of GDP, <EOS>,"['military', 'spending', 'of', 'GDP']"
"Tunisia 's per capita annual income was approximately 8,900 dollars ( U.S.A. ) in 2006","B-ent,I-ent,B-attr,I-attr,I-attr,I-attr,O,O,O,B-qty,O,O,O,O,O",per capita annual income, <EOS>,"['per', 'capita', 'annual', 'income']"
"Piethorne Reservoir today carries 344 million gallons of water , enough for 7 million baths","B-ent,I-ent,O,B-attr,B-qty,I-qty,I-qty,O,B-attr,O,O,O,O,B-qty,O",carries water gallons, <EOS>,"['carries', 'water']"
"Others have suggested 5,000 yuan fine and 15 days in jail","B-ent,O,B-attr,O,O,O,O,B-qty,I-qty,B-attr,I-attr",duration suggested in jail,duration <EOS>,"['suggested', 'in', 'jail']"
The dollar was equal to the Chinese yuan and was divided into 100 cents,"O,B-ent,O,O,O,O,O,O,O,O,B-attr,O,B-qty,I-qty",amount divided,amount <EOS>,['divided']
"The film took three years , 237 artists and 350,000 Chinese yuan to make","O,B-ent,B-attr,B-qty,I-qty,O,O,O,O,O,O,O,O,O",duration took,duration <EOS>,['took']
The project will cost 1.55 billion Chinese yuan ( US $ 227 million ),"O,B-ent,O,B-attr,B-qty,I-qty,I-qty,I-qty,O,O,O,O,O,O",cost, <EOS>,['cost']
Chakdaha CD Block has an area of 288.80 km,"B-ent,I-ent,I-ent,O,O,B-attr,O,B-qty,I-qty",area, <EOS>,['area']
The maximum concentration in Chakdaha CD Block is 890 mg / litre,"O,B-attr,I-attr,O,B-ent,I-ent,I-ent,O,B-qty,I-qty,I-qty,I-qty",maximum concentration, <EOS>,"['maximum', 'concentration']"
