preds,ground_truth,Tags
 total length,total length,"['O', 'B-attr', 'I-attr', 'O', 'O', 'I-ent', 'I-ent', 'O', 'B-qty', 'I-qty']"
 led line,number of sacks,"['B-ent', 'O', 'B-ent', 'I-ent', 'B-attr', 'O', 'I-attr', 'O', 'B-qty', 'I-qty']"
 diameter,diameter,"['O', 'B-attr', 'O', 'B-ent', 'I-ent', 'I-ent', 'O', 'O', 'I-qty']"
duration presence lasted,presence duration,"['O', 'B-attr', 'O', 'B-ent', 'B-attr', 'B-qty', 'I-qty']"
share Kia,Kia share,"['B-ent', 'O', 'B-qty', 'I-qty', 'O', 'B-attr']"
unknown ,unknown,"['B-ent', 'I-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 share,share,"['B-ent', 'I-ent', 'B-attr', 'O', 'O', 'B-qty', 'I-qty']"
 India 's Iron ore reserves,India's Iron ore reserves,"['B-ent', 'I-ent', 'O', 'B-qty', 'I-qty', 'O', 'B-attr', 'I-attr', 'I-attr', 'I-attr', 'I-attr']"
distance from the airport,distance from the airport,"['B-ent', 'I-ent', 'I-ent', 'O', 'B-qty', 'I-qty', 'B-attr', 'I-attr', 'I-attr']"
duration built,duration built,"['O', 'B-ent', 'O', 'B-attr', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O']"
 carries commercial truck traffic,commercial truck traffic,"['O', 'B-ent', 'B-attr', 'B-qty', 'I-qty', 'I-qty', 'I-qty', 'O', 'B-attr', 'I-attr', 'I-attr', 'O', 'O', 'O']"
 water table,water table depth,"['B-ent', 'O', 'O', 'B-attr', 'I-attr', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O']"
 current standards,current standards,"['O', 'B-attr', 'I-attr', 'O', 'B-ent', 'I-ent', 'I-ent', 'O', 'B-qty', 'I-qty', 'O', 'O']"
 score,score,"['O', 'B-ent', 'I-ent', 'O', 'O', 'O', 'B-attr', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
duration inhabited,inhabitation duration,"['O', 'O', 'O', 'O', 'B-ent', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
distance carted shipped,distance to Auxerre,"['O', 'B-ent', 'I-ent', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'O', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
duration provided illustrations,published time duration difference with first publication,"['B-ent', 'I-ent', 'B-attr', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ent', 'O', 'O', 'O', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O']"
distance of Dehradun,distance from Dehradun,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-qty', 'I-qty', 'B-attr', 'I-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
