preds,ground_truth,Tags
 total length,total length,"['O', 'B-attr', 'I-attr', 'O', 'B-ent', 'I-ent', 'I-ent', 'O', 'B-qty', 'I-qty']"
 led line,number of sacks,"['O', 'I-ent', 'B-ent', 'I-ent', 'B-attr', 'O', 'I-attr', 'O', 'B-qty', 'I-qty']"
 diameter,diameter,"['O', 'B-attr', 'O', 'B-ent', 'I-ent', 'I-ent', 'O', 'O', 'I-qty']"
duration presence lasted,presence duration,"['O', 'B-attr', 'O', 'B-ent', 'B-attr', 'B-qty', 'I-qty']"
share Kia,Kia share,"['B-ent', 'O', 'B-qty', 'I-qty', 'O', 'I-attr']"
unknown entered,unknown,"['B-ent', 'I-ent', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 share,share,"['B-ent', 'O', 'B-attr', 'O', 'O', 'B-qty', 'I-qty']"
 India 's Iron ore reserves,India's Iron ore reserves,"['B-ent', 'I-ent', 'O', 'B-qty', 'I-qty', 'O', 'B-attr', 'I-attr', 'I-attr', 'I-attr', 'I-attr']"
distance from the airport,distance from the airport,"['B-ent', 'I-ent', 'I-ent', 'O', 'B-qty', 'I-qty', 'B-attr', 'I-attr', 'I-attr']"
duration built,duration built,"['O', 'B-ent', 'O', 'B-attr', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O']"
 carries commercial truck traffic the,commercial truck traffic,"['O', 'B-ent', 'B-attr', 'B-qty', 'I-qty', 'I-qty', 'I-qty', 'O', 'B-attr', 'I-attr', 'I-attr', 'O', 'I-attr', 'O']"
 water table,water table depth,"['B-ent', 'O', 'O', 'B-attr', 'I-attr', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O']"
 current standards,current standards,"['O', 'B-attr', 'I-attr', 'O', 'O', 'I-ent', 'I-ent', 'O', 'B-qty', 'I-qty', 'O', 'O']"
 score,score,"['O', 'B-ent', 'I-ent', 'O', 'O', 'O', 'B-attr', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
duration inhabited,inhabitation duration,"['O', 'O', 'O', 'O', 'B-ent', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
distance casks carted shipped,distance to Auxerre,"['O', 'O', 'I-attr', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'O', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
duration provided illustrations,published time duration difference with first publication,"['B-ent', 'I-ent', 'B-attr', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O']"
distance of Dehradun from Haridwar,distance from Dehradun,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ent', 'B-ent', 'O', 'O', 'B-qty', 'I-qty', 'B-attr', 'I-attr', 'O', 'O', 'O', 'B-ent', 'O', 'O', 'O', 'B-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'I-attr']"
duration spent number one,duration spent at number one,"['B-ent', 'O', 'O', 'I-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'B-qty', 'I-qty', 'O', 'B-attr', 'I-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 lowered water level to capacity,lowered water level capacity,"['O', 'O', 'O', 'B-ent', 'I-ent', 'I-ent', 'I-ent', 'I-ent', 'I-ent', 'O', 'O', 'O', 'B-attr', 'O', 'B-attr', 'I-attr', 'I-attr', 'B-qty', 'I-qty', 'O', 'I-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 seat accounted total population accounted,total municipal population,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ent', 'I-attr', 'O', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'I-attr', 'O', 'O', 'O', 'O', 'O', 'B-ent', 'B-attr', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O']"
percentage comprise population make,U.S. population proportion,"['B-ent', 'I-ent', 'O', 'I-ent', 'I-ent', 'B-attr', 'B-qty', 'I-qty', 'O', 'O', 'O', 'I-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'O', 'O']"
 population increased,increased population,"['O', 'O', 'O', 'B-ent', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-attr', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 cut federal DSH payments DSH payments,payments reduction,"['O', 'O', 'O', 'O', 'B-ent', 'I-ent', 'I-ent', 'I-ent', 'I-ent', 'B-attr', 'I-attr', 'I-attr', 'I-attr', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ent', 'I-attr', 'I-attr', 'O', 'O', 'O', 'O']"
duration show called provided,duration,"['O', 'O', 'O', 'O', 'O', 'B-ent', 'O', 'O', 'I-attr', 'O', 'B-ent', 'I-ent', 'I-ent', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-qty', 'I-qty']"
 poll voters,non-Cuban Hispanics supporting Mr. Bush,"['O', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'I-attr', 'O', 'B-ent', 'O', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
age ,age,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ent', 'I-ent', 'I-ent', 'O', 'O', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
duration ,lead duration,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O']"
 score,GameRankings and Metacritic score,"['B-ent', 'I-ent', 'I-ent', 'O', 'O', 'O', 'B-attr', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 acquire BCP stake,BCP stake,"['B-ent', 'O', 'O', 'B-attr', 'B-qty', 'I-qty', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O']"
 offices,Europe and North America regional offices ownership,"['O', 'B-ent', 'I-attr', 'O', 'B-ent', 'I-ent', 'I-ent', 'I-ent', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 automobile sales dropped firm reported,automobile sales drop,"['B-ent', 'I-ent', 'I-ent', 'B-attr', 'I-attr', 'I-attr', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
duration advertised,book advertising duration,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
size takes,size,"['O', 'O', 'O', 'O', 'B-ent', 'O', 'O', 'O', 'B-ent', 'I-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
distance distance from the Yatağan highway,distance from the Yatağan,"['O', 'B-ent', 'O', 'O', 'O', 'B-qty', 'I-qty', 'B-attr', 'B-attr', 'I-attr', 'I-attr', 'O', 'O', 'O', 'O', 'I-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 receives the money,amount share of Fiddler on the Roof,"['O', 'B-ent', 'I-ent', 'B-attr', 'O', 'O', 'B-qty', 'I-qty', 'O', 'O', 'B-attr', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
duration suspended,suspension duration,"['O', 'O', 'O', 'B-ent', 'I-ent', 'I-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 receiving annual precipitation,annual precipitation,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'I-attr', 'I-attr']"
exports Revenues declined,revenue decline,"['B-attr', 'O', 'B-ent', 'B-ent', 'I-ent', 'I-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 won gave vote,vote percentage for Democratic candidate,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ent', 'O', 'B-attr', 'O', 'O', 'B-qty', 'I-qty', 'O', 'O', 'I-attr', 'O', 'O', 'O', 'O']"
